year,race,count
2015,Asian,14
2015,White,497
2015,Hispanic,172
2015,Black,258
2015,Other,15
2015,Native,9
2016,Asian,15
2016,White,468
2016,Hispanic,160
2016,Black,234
2016,Other,11
2016,Native,16
2017,Asian,16
2017,White,459
2017,Hispanic,179
2017,Black,224
2017,Other,6
2017,Native,22
2018,Asian,21
2018,White,454
2018,Hispanic,165
2018,Black,229
2018,Other,4
2018,Native,15
2019,Asian,19
2019,White,404
2019,Hispanic,163
2019,Black,250
2019,Other,9
2019,Native,13
2020,Asian,8
2020,White,194
2020,Hispanic,63
2020,Black,103
2020,Other,3
2020,Native,3
